Site,Trip,Location,Date,Start,End
Pick,1,P1A,2022-06-20,10:54:00.000,10:55:41.881
Pick,1,P1B,2022-06-20,11:00:56.399,11:02:17.277
Pick,1,P1C,2022-06-20,11:07:47.094,11:08:33.879
Pick,1,P1D,2022-06-20,11:11:51.777,11:12:52.690
Pick,1,P1E,2022-06-20,11:17:05.575,11:18:04.486
Pick,1,P2A,2022-06-20,11:27:13.178,11:28:06.082
Pick,1,P2B,2022-06-20,11:30:57.877,11:32:49.883
Pick,1,P2C,2022-06-20,11:34:43.777,11:35:58.679
Pick,1,P2D,2022-06-20,11:39:30.377,11:40:36.379
Pick,1,P2E,2022-06-20,11:42:51.000,11:44:03.262
Pick,1,P3A,2022-06-20,11:51:37.000,11:52:22.192
Pick,1,P3B,2022-06-20,11:55:42.014,11:57:01.078
Pick,1,P3C,2022-06-20,12:01:09.983,12:02:33.987
Pick,1,P3D,2022-06-20,12:05:16.977,12:06:11.982
Pick,1,P3E,2022-06-20,12:10:04.893,12:11:08.879
Pick,1,P4A,2022-06-20,12:19:38.457,12:21:46.256
Pick,1,P4B,2022-06-20,12:24:19.858,12:25:46.760
Pick,1,P4C,2022-06-20,12:30:28.057,12:31:48.954
Pick,1,P4D,2022-06-20,12:36:54.455,12:37:45.263
Pick,1,P4E,2022-06-20,12:40:25.860,12:42:22.566
Pick,1,P5A,2022-06-20,12:44:46.156,12:46:22.967
Pick,1,P5B,2022-06-20,12:51:17.459,12:52:48.263
Pick,1,P5C,2022-06-20,12:55:29.160,12:56:32.158
Pick,1,P5D,2022-06-20,12:59:13.058,13:01:02.862
Pick,1,P5E,2022-06-20,13:02:32.753,13:04:59.660
Pick,2,P1A,2022-06-20,14:43:49.483,14:45:53.167
Pick,2,P1B,2022-06-20,14:48:03.964,14:49:58.767
Pick,2,P1C,2022-06-20,14:53:18.461,14:54:46.269
Pick,2,P1D,2022-06-20,14:58:54.969,14:59:49.867
Pick,2,P1E,2022-06-20,15:02:03.566,15:03:14.268
Pick,2,P2A,2022-06-20,15:09:52.165,15:11:31.869
Pick,2,P2B,2022-06-20,15:16:58.771,15:18:17.667
Pick,2,P2C,2022-06-20,15:20:30.564,15:23:08.565
Pick,2,P2D,2022-06-20,15:27:31.368,15:28:31.369
Pick,2,P2E,2022-06-20,15:30:46.275,15:31:37.167
Pick,2,P3A,2022-06-20,15:34:51.176,15:36:19.068
Pick,2,P3B,2022-06-20,15:39:59.973,15:41:19.068
Pick,2,P3C,2022-06-20,15:42:54.874,15:44:51.870
Pick,2,P3D,2022-06-20,15:49:49.771,15:51:05.773
Pick,2,P3E,2022-06-20,15:52:50.688,15:54:59.568
Pick,2,P4A,2022-06-20,16:04:54.574,16:06:14.578
Pick,2,P4B,2022-06-20,16:15:20.371,16:16:44.374
Pick,2,P4C,2022-06-20,16:18:53.369,16:20:25.381
Pick,2,P4D,2022-06-20,16:26:11.375,16:27:10.373
Pick,2,P4E,2022-06-20,16:32:29.374,16:33:27.377
Pick,2,P5A,2022-06-20,16:54:17.874,16:55:58.875
Pick,2,P5B,2022-06-20,16:49:08.875,16:50:30.880
Pick,2,P5C,2022-06-20,16:43:41.085,16:45:27.078
Pick,2,P5D,2022-06-20,16:39:55.179,16:41:16.181
Pick,2,P5E,2022-06-20,16:36:00.276,16:37:22.279
Pick,3,P1A,2022-06-20,18:42:26.198,18:44:11.179
Pick,3,P1B,2022-06-20,18:46:21.984,18:48:23.873
Pick,3,P1C,2022-06-20,18:50:50.369,18:52:36.173
Pick,3,P1D,2022-06-20,18:55:40.788,18:57:21.674
Pick,3,P1E,2022-06-20,18:59:56.668,19:01:41.474
Pick,4,P1A,2022-06-20,19:52:47.367,19:55:08.078
Pick,4,P1B,2022-06-20,19:57:14.801,19:58:42.670
Pick,4,P1C,2022-06-20,20:02:23.564,20:03:35.372
Pick,4,P1D,2022-06-20,20:05:50.167,20:06:55.167
Pick,4,P1E,2022-06-20,20:09:26.065,20:10:54.879
Pick,4,P2A,2022-06-20,20:17:10.771,20:19:12.670
Pick,4,P2B,2022-06-20,20:24:40.466,20:26:03.370
Pick,4,P2C,2022-06-20,20:27:52.273,20:29:14.171
Pick,4,P2D,2022-06-20,20:35:31.871,20:36:56.869
Pick,4,P2E,2022-06-20,20:38:46.169,20:39:54.600
Pick,4,P3A,2022-06-20,20:44:57.574,20:46:22.570
Pick,4,P3B,2022-06-20,20:48:07.573,20:49:43.576
Pick,4,P3C,2022-06-20,20:51:50.584,20:52:56.475
Pick,4,P3D,2022-06-20,20:55:27.375,20:56:30.376
Pick,4,P3E,2022-06-20,20:58:08.375,20:59:43.279
Pick,4,P4A,2022-06-20,21:02:44.277,21:04:39.272
Pick,4,P4B,2022-06-20,21:12:24.381,21:14:01.070
Pick,4,P4C,2022-06-20,21:16:02.075,21:17:11.075
Pick,4,P4D,2022-06-20,21:25:12.782,21:26:24.779
Pick,4,P4E,2022-06-20,21:29:01.676,21:30:36.674
Pick,4,P5A,2022-06-20,21:47:15.380,21:48:55.277
Pick,4,P5B,2022-06-20,21:43:19.476,21:44:28.379
Pick,4,P5C,2022-06-20,21.39:49.579,21:41:07.581
Pick,4,P5D,2022-06-20,21:37:19.581,21:38:32.580
Pick,4,P5E,2022-06-20,21:33:52.577,21:35:01.580
Pick,6,P1A,2022-06-21,5:22:54.000,5:24:27.581
