Location,Trap #,Trip,Date,Start,End
Deans,D1A,1,8/16/2022,,
Deans,D1B,1,8/16/2022,10:39:34.575,10:41:05.465
Deans,D1C,1,8/16/2022,,
Deans,D1D,1,8/16/2022,,
Deans,D1E,1,8/16/2022,10:44:06.069,10:45:26.971
Deans,D2A,1,8/16/2022,10:48:13.770,10:54:34.376
Deans,D2B,1,8/16/2022,,
Deans,D2C,1,8/16/2022,10:56:56.085,11:03:24.481
Deans,D2D,1,8/16/2022,11:05:20.374,11:06:36.374
Deans,D2E,1,8/16/2022,,
Deans,D3A,1,8/16/2022,,
Deans,D3B,1,8/16/2022,11:09:46.081,11:10:54.984
Deans,D3C,1,8/16/2022,,
Deans,D3D,1,8/16/2022,,
Deans,D3E,1,8/16/2022,11:12:46.776,11:14:01.779
Deans,D4A,1,8/16/2022,11:15:52.776,11:21:51.579
Deans,D4B,1,8/16/2022,,
Deans,D4C,1,8/16/2022,11:24:15.479,11:30:49.381
Deans,D4D,1,8/16/2022,11:32:13.274,11:33:23.278
Deans,D4E,1,8/16/2022,,
Deans,D5A,1,8/16/2022,,
Deans,D5B,1,8/16/2022,11:36:15.281,11:37:41.277
Deans,D5C,1,8/16/2022,,
Deans,D5D,1,8/16/2022,,
Deans,D5E,1,8/16/2022,11:39:58.281,11:41:38.277
Deans,D1A,2,8/16/2022,,
Deans,D1B,2,8/16/2022,13:06:59.358,13:08:04.184
Deans,D1C,2,8/16/2022,,
Deans,D1D,2,8/16/2022,,
Deans,D1E,2,8/16/2022,13:10:23.056,13:12:23.666
Deans,D2A,2,8/16/2022,13:14:19.460,13:18:38.169
Deans,D2B,2,8/16/2022,,
Deans,D2C,2,8/16/2022,13:20:07.964,13:25:45.467
Deans,D2D,2,8/16/2022,13:27:30.370,13:29:24.197
Deans,D2E,2,8/16/2022,,
Deans,D3A,2,8/16/2022,,
Deans,D3B,2,8/16/2022,13:31:56.963,13:33:07.764
Deans,D3C,2,8/16/2022,,
Deans,D3D,2,8/16/2022,,
Deans,D3E,2,8/16/2022,13:35:06.582,13:36:31.567
Deans,D4A,2,8/16/2022,13:38:25.471,13:42:54.967
Deans,D4B,2,8/16/2022,,
Deans,D4C,2,8/16/2022,13:45:09.665,13:49:10.662
Deans,D4D,2,8/16/2022,13:51:42.461,13:52:42.367
Deans,D4E,2,8/16/2022,,
Deans,D5A,2,8/16/2022,,
Deans,D5B,2,8/16/2022,13:55:19.262,13:56:38.176
Deans,D5C,2,8/16/2022,,
Deans,D5D,2,8/16/2022,,
Deans,D5E,2,8/16/2022,13:58:49.167,13:59:52.071
Deans,D1A,3,8/16/2022,,
Deans,D1B,3,8/16/2022,,
Deans,D1C,3,8/16/2022,,
Deans,D1D,3,8/16/2022,,
Deans,D1E,3,8/16/2022,,
Deans,D2A,3,8/16/2022,,
Deans,D2B,3,8/16/2022,,
Deans,D2C,3,8/16/2022,16:33:30.592,16:37:10.295
Deans,D2D,3,8/16/2022,16:39:57.992,16:41:28.795
Deans,D2E,3,8/16/2022,,
Deans,D3A,3,8/16/2022,,
Deans,D3B,3,8/16/2022,16:46:44.398,16:47:56.292
Deans,D3C,3,8/16/2022,,
Deans,D3D,3,8/16/2022,,
Deans,D3E,3,8/16/2022,16:50:00.196,16:51:24.196
Deans,D4A,3,8/16/2022,16:53:27.900,16:55:47.697
Deans,D4B,3,8/16/2022,,
Deans,D4C,3,8/16/2022,16:59:39.493,17:02:10.292
Deans,D4D,3,8/16/2022,17:04:38.094,17:05:52.997
Deans,D4E,3,8/16/2022,,
Deans,D5A,3,8/16/2022,,
Deans,D5B,3,8/16/2022,17:08:21.904,17:12:13.793
Deans,D5C,3,8/16/2022,,
Deans,D5D,3,8/16/2022,,
Deans,D5E,3,8/16/2022,17:15:23.608,17:18:34.496
Deans,D1A,4,8/16/2022,,
Deans,D1B,4,8/16/2022,19:07:42.01,19:09:20.880
Deans,D1C,4,8/16/2022,,
Deans,D1D,4,8/16/2022,,
Deans,D1E,4,8/16/2022,19:11:53.490,19:12:33.379
Deans,D2A,4,8/16/2022,19:15:37.083,19:21:12.478
Deans,D2B,4,8/16/2022,,
Deans,D2C,4,8/16/2022,19:23:14.399,19:28:41.084
Deans,D2D,4,8/16/2022,19:30:05.079,19:31:36.881
Deans,D2E,4,8/16/2022,,
Deans,D3A,4,8/16/2022,,
Deans,D3B,4,8/16/2022,19:34:35.784,19:35:43.583
Deans,D3C,4,8/16/2022,,
Deans,D3D,4,8/16/2022,,
Deans,D3E,4,8/16/2022,19:37:47.481,19:38:51.486
Deans,D4A,4,8/16/2022,19:40:29.377,19:45:28.282
Deans,D4B,4,8/16/2022,,
Deans,D4C,4,8/16/2022,19:47:21.192,19:53:27.185
Deans,D4D,4,8/16/2022,19:55:16.185,19:56:16.086
Deans,D4E,4,8/16/2022,,
Deans,D5A,4,8/16/2022,,
Deans,D5B,4,8/16/2022,19:58:53.086,20:00:04.994
Deans,D5C,4,8/16/2022,,
Deans,D5D,4,8/16/2022,,
Deans,D5E,4,8/16/2022,20:02:31.989,20:03:42.893
Deans,D1A,5,8/16/2022,,
Deans,D1B,5,8/16/2022,22:02:25.982,22:03:58.583
Deans,D1C,5,8/16/2022,,
Deans,D1D,5,8/16/2022,,
Deans,D1E,5,8/16/2022,22:06:26.283,22:07:36.081
Deans,D2A,5,8/16/2022,22:10:00.777,22:14:39.979
Deans,D2B,5,8/16/2022,,
Deans,D2C,5,8/16/2022,22:15:28.688,22:20:51.989
Deans,D2D,5,8/16/2022,22:22:36.790,22:23:27.783
Deans,D2E,5,8/16/2022,,
Deans,D3A,5,8/16/2022,,
Deans,D3B,5,8/16/2022,22:26:38.678,22:27:49.583
Deans,D3C,5,8/16/2022,,
Deans,D3D,5,8/16/2022,,
Deans,D3E,5,8/16/2022,22:29:59.385,22:31:03.286
Deans,D4A,5,8/16/2022,22:37:10.787,22:39:03.786
Deans,D4B,5,8/16/2022,,
Deans,D4C,5,8/16/2022,22:41:17.684,22:45:33.583
Deans,D4D,5,8/16/2022,22:47:01.583,22:48:32.392
Deans,D4E,5,8/16/2022,,
Deans,D5A,5,8/16/2022,,
Deans,D5B,5,8/16/2022,22:51:19.186,22:52:23.196
Deans,D5C,5,8/16/2022,,
Deans,D5D,5,8/16/2022,,
Deans,D5E,5,8/16/2022,22:55:06.088,22:56:15.888
Deans,D1A,6,8/17/2022,,
Deans,D1B,6,8/17/2022,01:07:50.069,01:09:22.767
Deans,D1C,6,8/17/2022,,
Deans,D1D,6,8/17/2022,,
Deans,D1E,6,8/17/2022,01:12:34.564,01:13:47.463
Deans,D2A,6,8/17/2022,01:17:30.265,01:20:29.884
Deans,D2B,6,8/17/2022,,
Deans,D2C,6,8/17/2022,01:23:40.569,01:27:47.273
Deans,D2D,6,8/17/2022,01:31:26.165,01:32:55.962
Deans,D2E,6,8/17/2022,,
Deans,D3A,6,8/17/2022,,
Deans,D3B,6,8/17/2022,01:36:31.765,01:37:32.766
Deans,D3C,6,8/17/2022,,
Deans,D3D,6,8/17/2022,,
Deans,D3E,6,8/17/2022,01:40:30.390,01:41:44.295
Deans,D4A,6,8/17/2022,01:44:50.167,01:48:08.975
Deans,D4B,6,8/17/2022,,
Deans,D4C,6,8/17/2022,01:52:02.768,01:54:57.674
Deans,D4D,6,8/17/2022,,
Deans,D4E,6,8/17/2022,,
Deans,D5A,6,8/17/2022,,
Deans,D5B,6,8/17/2022,02:02:55.370,02:04:07.369
Deans,D5C,6,8/17/2022,,
Deans,D5D,6,8/17/2022,,
Deans,D5E,6,8/17/2022,02:07:05.263,02:08:17.176
Deans,D1A,7,8/17/2022,,
Deans,D1B,7,8/17/2022,04:08:46.145,04:09:52.946
Deans,D1C,7,8/17/2022,,
Deans,D1D,7,8/17/2022,,
Deans,D1E,7,8/17/2022,04:13:32.358,04:14:34.148
Deans,D2A,7,8/17/2022,04:17:47.749,04:20:57.352
Deans,D2B,7,8/17/2022,,
Deans,D2C,7,8/17/2022,04:25:29.957,04:27:13.752
Deans,D2D,7,8/17/2022,04:34:38.470,04:35:43.452
Deans,D2E,7,8/17/2022,,
Deans,D3A,7,8/17/2022,,
Deans,D3B,7,8/17/2022,04:43:31.153,04:44:27.051
Deans,D3C,7,8/17/2022,,
Deans,D3D,7,8/17/2022,,
Deans,D3E,7,8/17/2022,04:48:02.850,04:49:04.750
Deans,D4A,7,8/17/2022,04:52:08.757,04:54:29.653
Deans,D4B,7,8/17/2022,,
Deans,D4C,7,8/17/2022,04:58:43.557,05:02:05.356
Deans,D4D,7,8/17/2022,05:06:10.887,05:07:26.761
Deans,D4E,7,8/17/2022,,
Deans,D5A,7,8/17/2022,,
Deans,D5B,7,8/17/2022,05:12:00.553,05:13:07.549
Deans,D5C,7,8/17/2022,,
Deans,D5D,7,8/17/2022,,
